Latitude, Longitude, Date Observed, Time Observed, Smell Rating
43.664474805343,-79.392403396353,2024-11-20,14:34,moderate
43.664474805343,-79.392403396353,2024-11-13,14:47,mild
43.664474805343,-79.392403396353,2024-11-13,18:55,no-smell
43.705393794847,-79.42722259541,2024-11-23,14:00,moderate
43.664220621488,-79.464417964317,2024-11-29,19:30,no-smell
43.65983418516,-79.477211067389,2024-11-30,22:12,mild
43.664474805343,-79.392403396353,2024-12-01,23:17,severe
43.664474805343,-79.392403396353,2024-12-01,23:25,severe
43.651209085799,-79.488133798459,2024-12-02,22:17,moderate
43.667680260225,-79.313115522688,2024-12-01,22:19,mild
