gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2023-06-06 14:53:24.800,40.4,26.261655256,2.02229640015,2.04024028861,0.262048251386,417.665056745,421.934711653,0.373494616765,0.0,50.5549655778,10623.906604,2.2,259.0,43.6614166667,-79.3985183333,997.1,9.8642562697,,0.0,22.9524593488,22.8,230.1,333.6,1.7,3.3
2023-06-06 14:53:25.800,47.6,26.2620722968,2.01985793211,2.04401245462,0.266399323975,416.920812941,422.150089976,0.264852577209,0.0,50.6171252568,10634.5252566,2.2,259.1,43.6614016667,-79.3985566667,997.0,9.86325330702,,0.0,22.953093528,22.7,227.0,327.2,1.9,3.7
2023-06-06 14:53:26.800,53.5,26.2621762111,2.01982842567,2.04137215389,0.411400607669,417.228012563,421.3615255,0.275267346234,0.0,50.6406711928,10728.9903999,2.2,259.1,43.6613733333,-79.3985916667,997.0,9.86398397061,,0.0,22.9540632786,22.7,228.8,328.4,1.7,3.3
2023-06-06 14:53:27.800,59.7,26.2628887558,2.02349956687,2.04175291558,0.307693281544,417.674069431,421.757422448,0.416243559348,0.0,50.5648000602,10711.8917034,2.2,259.1,43.6613483333,-79.39863,997.1,9.86501009525,,0.0,22.9555954532,22.7,220.1,321.9,1.6,3.2
2023-06-06 14:53:28.800,66.2,26.2637718902,2.01966336237,2.04545626572,0.262919171053,416.950369065,422.19509746,0.307738394093,215.1,50.6208949479,10686.5513209,2.2,259.1,43.66134,-79.3986633333,997.1,9.86417865093,,0.0,22.9572005386,22.7,215.6,316.5,1.3,2.6
2023-06-06 14:53:29.800,71.3,26.2655579212,2.01798102261,2.04119831526,0.223943549229,417.277587582,421.415648797,0.268067654758,58.4,50.6438068739,10643.8853319,2.2,259.1,43.6613383333,-79.3986883333,997.1,9.86197407379,,0.0,22.9581752724,22.7,216.0,323.5,1.1,2.3
2023-06-06 14:53:30.800,74.4,26.2665396447,2.02109771374,2.03969648428,0.271251303783,417.684966803,421.767347319,0.226323700571,19.1,50.5773209942,10663.5424473,2.2,259.2,43.661315,-79.3987216667,997.1,9.86178739595,,0.0,22.959418934,22.7,230.7,330.1,1.1,2.0
2023-06-06 14:53:31.800,75.6,26.269574419,2.02071538181,2.04290332267,0.27709594219,417.512684354,422.188338884,0.274756503673,47.9,50.572679073,10754.317951,2.2,259.1,43.6613,-79.3987433333,997.1,9.86284704331,,0.0,22.9604475084,22.7,228.8,325.2,0.9,1.7
2023-06-06 14:53:32.800,76.2,26.2690229963,2.01956983994,2.04266230079,0.283437094226,417.290780862,422.048556311,0.279624161347,83.1,50.6321753568,10748.5342586,2.2,259.1,43.6613066667,-79.3987583333,997.1,9.86400251266,,0.1,22.9619513358,22.7,221.1,322.3,1.1,2.1
2023-06-06 14:53:33.800,78.1,26.2671332309,2.0220000283,2.04150506264,0.279959367092,417.396437718,421.82107469,0.286988036877,0.9,50.6031506747,10753.7043247,2.2,259.1,43.6612966667,-79.3987866667,997.1,9.86532431574,,0.0,22.9627844717,22.7,224.3,320.3,1.2,2.2
